03048204-a	http://wnpt.brlcloud.com/wn/synset?id=03048204-a	Bhutanese	adj.pert	Nation@	08852209-n	http://wnpt.brlcloud.com/wn/synset?id=08852209-n	Bhutan	noun.location	Bhutan=
03017468-a	http://wnpt.brlcloud.com/wn/synset?id=03017468-a	Boeotian	adj.pert	GeopoliticalArea@	08789243-n	http://wnpt.brlcloud.com/wn/synset?id=08789243-n	Boeotia	noun.location	LandArea@
02667426-a	http://wnpt.brlcloud.com/wn/synset?id=02667426-a	Bohemian	adj.pert	nil	08758882-n	http://wnpt.brlcloud.com/wn/synset?id=08758882-n	Bohemia	noun.location	GeographicArea@
02967485-a	http://wnpt.brlcloud.com/wn/synset?id=02967485-a	Bolivian	adj.pert	Nation@	08852843-n	http://wnpt.brlcloud.com/wn/synset?id=08852843-n	Bolivia	noun.location	Bolivia=
02964629-a	http://wnpt.brlcloud.com/wn/synset?id=02964629-a	Bosnian	adj.pert	GeopoliticalArea@	08817630-n	http://wnpt.brlcloud.com/wn/synset?id=08817630-n	Bosnia-Herzegovina	noun.location	Nation@
02668585-a	http://wnpt.brlcloud.com/wn/synset?id=02668585-a	Botswanan	adj.pert	nil	08852389-n	http://wnpt.brlcloud.com/wn/synset?id=08852389-n	Botswana	noun.location	Botswana=
02966829-a	http://wnpt.brlcloud.com/wn/synset?id=02966829-a	Brazilian	adj.pert	Nation@	08853741-n	http://wnpt.brlcloud.com/wn/synset?id=08853741-n	Brazil	noun.location	Brazil=
03022177-a	http://wnpt.brlcloud.com/wn/synset?id=03022177-a	British	adj.pert	UnitedKingdomOfGreatBritainAndNorthernIreland=	08858942-n	http://wnpt.brlcloud.com/wn/synset?id=08858942-n	Great_Britain	noun.location	Island@
03051035-a	http://wnpt.brlcloud.com/wn/synset?id=03051035-a	Bruneian	adj.pert	Nation@	08896092-n	http://wnpt.brlcloud.com/wn/synset?id=08896092-n	Brunei	noun.location	Brunei=
03051307-a	http://wnpt.brlcloud.com/wn/synset?id=03051307-a	Bulgarian	adj.pert	Nation@	08714132-n	http://wnpt.brlcloud.com/wn/synset?id=08714132-n	Bulgaria	noun.location	Bulgaria=
03052018-a	http://wnpt.brlcloud.com/wn/synset?id=03052018-a	Burmese	adj.pert	Nation@	08715390-n	http://wnpt.brlcloud.com/wn/synset?id=08715390-n	Myanmar	noun.location	Myanmar=
03052218-a	http://wnpt.brlcloud.com/wn/synset?id=03052218-a	Burundi	adj.pert	Nation@	08716219-n	http://wnpt.brlcloud.com/wn/synset?id=08716219-n	Burundi	noun.location	Burundi=
03052218-a	http://wnpt.brlcloud.com/wn/synset?id=03052218-a	Burundian	adj.pert	Nation@	08716219-n	http://wnpt.brlcloud.com/wn/synset?id=08716219-n	Burundi	noun.location	Burundi=
